traffic,precip,temp_f,mon,tues,wed,thu,fri,sat,sun,jan,feb,mar,apr,may,june,july,aug,sep,oct,nov,dec
0.628333333,0.5,0.745,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.61,0.5,0.745,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.604166667,0.5,0.745,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.595,0.5,0.745,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.521666667,0.5,0.745,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.541666667,0.5,0.745,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.596666667,0.5,0.745,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.6975,0.5,0.745,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.6175,0.5,0.745,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.499166667,0.5,0.745,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.365,0.5,0.745,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.12,0.5,0.745,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.119166667,0,0.731,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.151666667,0,0.731,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.1,0,0.731,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.1025,0,0.731,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.106666667,0,0.731,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.081666667,0,0.731,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.245833333,0,0.731,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.488333333,0,0.731,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.6075,0,0.731,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.535833333,0,0.731,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.52,0,0.731,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.499166667,0,0.731,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.511666667,0,0.731,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.525833333,0,0.731,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.558333333,0,0.731,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.615,0,0.731,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.685833333,0,0.731,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.690833333,0,0.731,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.580833333,0,0.731,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.475,0,0.731,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.283333333,0,0.731,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.105,0,0.731,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.1025,0,0.717,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0.136666667,0,0.717,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0.094166667,0,0.717,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0.080833333,0,0.717,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0.061666667,0,0.717,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0.149166667,0,0.717,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0.233333333,0,0.717,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0.288333333,0,0.717,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0.404166667,0,0.717,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0.496666667,0,0.717,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0.531666667,0,0.717,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0.585,0,0.717,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0.541666667,0,0.717,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0.524166667,0,0.717,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0.5075,0,0.717,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0.550833333,0,0.717,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0.595,0,0.717,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0.514166667,0,0.717,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0.393333333,0,0.717,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0.311666667,0,0.717,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0.103333333,0,0.717,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
