year,mo,da,temp,min,max,prcp
2019,01,19,80.4,71.8,90.0,0.0
2019,01,28,81.3,70.3,91.4,0.0
2019,01,17,83.2,75.2,91.4,0.0
2019,01,23,81.0,71.6,89.6,0.0
2019,01,24,81.7,69.8,93.2,0.0
2019,01,22,81.5,75.2,89.6,0.0
2019,01,22,80.6,71.1,87.8,0.0
2019,01,25,81.5,69.8,94.1,0.0
2019,01,07,81.4,73.4,91.8,0.0
2019,01,25,78.6,67.8,89.6,0.0
2019,01,20,80.5,73.4,90.0,0.0
2019,01,28,74.0,60.8,86.0,0.0
2019,01,11,79.0,68.0,93.2,0.0
2019,01,03,77.8,71.1,81.5,0.0
2019,01,16,79.8,73.4,91.4,0.0
2019,01,25,78.0,68.0,88.3,0.0
2019,01,17,69.7,60.8,80.6,0.0
2019,01,03,69.3,59.0,80.6,0.0
2019,01,02,80.1,73.4,86.4,0.01
2019,01,04,76.3,71.2,78.8,1.17
2019,01,20,80.7,71.2,89.6,0.0
2019,01,29,82.8,75.2,90.9,0.0
2019,01,18,80.1,73.4,88.5,0.0
2019,01,09,82.1,73.9,90.9,0.0
2019,01,12,81.6,66.2,98.6,0.0
2019,01,13,85.9,75.7,93.2,0.0
2019,01,15,79.1,73.4,90.7,0.96
2019,01,23,73.7,62.6,88.5,0.0
2019,01,03,74.7,71.6,77.0,1.52
2019,01,22,74.2,60.8,87.8,0.0
2019,01,09,81.7,75.2,89.6,0.0
2019,01,24,78.9,68.0,91.4,0.0
2019,01,12,75.5,66.2,89.6,0.0
2019,01,25,73.7,60.8,88.7,0.0
2019,01,28,73.7,62.6,87.8,0.0
2019,01,10,81.9,75.2,90.9,0.0
2019,01,21,79.0,72.5,91.4,0.18
2019,01,26,73.1,62.6,87.3,0.0
2019,01,01,80.0,72.9,87.8,0.13
2019,01,03,79.2,71.1,87.3,0.0
2019,01,21,80.9,71.6,93.2,0.0
2019,01,27,79.0,69.8,91.4,0.0
2019,01,23,80.9,71.6,89.6,0.0
2019,01,10,72.7,64.4,82.4,0.0
2019,01,19,82.7,74.8,89.6,0.0
2019,01,15,80.9,74.5,97.0,0.03
2019,01,31,69.4,57.2,84.2,0.0
2019,01,25,81.4,69.1,91.4,0.0
2019,01,16,70.0,60.8,82.4,0.0
2019,01,15,73.9,60.8,89.6,0.0
2019,01,17,77.8,66.2,91.4,99.99
2019,01,05,78.3,74.3,82.4,2.13
2019,01,14,70.3,60.8,82.4,0.0
2019,01,08,80.2,73.4,93.2,0.0
2019,01,02,79.6,71.6,88.3,0.0
2019,01,26,75.2,64.4,86.0,0.0
2019,01,12,85.9,74.8,94.5,0.0
2019,01,05,74.7,64.4,87.8,0.0
2019,01,09,74.4,67.1,84.2,0.13
2019,01,01,80.3,73.4,89.6,0.0
2019,01,24,80.1,70.5,89.6,0.0
2019,01,12,81.2,73.4,91.4,0.0
2019,01,26,81.0,71.6,91.4,0.0
2019,01,13,79.4,68.0,91.4,0.0
2019,01,29,76.9,64.4,89.6,0.0
2019,01,14,85.4,77.9,93.2,0.0
2019,01,26,80.8,71.6,88.5,0.0
2019,01,13,75.8,64.4,89.6,0.0
2019,01,26,77.3,66.2,89.6,0.0
2019,01,14,78.1,66.2,91.4,0.0
2019,01,28,74.2,60.8,87.8,0.0
2019,01,30,71.0,59.0,84.2,0.0
2019,01,02,77.1,69.8,88.3,0.0
2019,01,19,82.4,75.2,95.0,0.0
2019,01,22,82.1,73.4,94.6,0.0
2019,01,04,76.5,72.0,82.2,0.09
2019,01,23,73.3,59.0,87.8,0.0
2019,01,16,83.5,77.0,91.4,0.0
2019,01,19,78.2,68.0,89.6,0.0
2019,01,11,71.5,64.4,84.2,0.0
2019,01,24,81.0,74.3,90.5,0.01
2019,01,10,75.8,66.2,87.8,0.0
2019,01,04,73.3,71.6,77.0,99.99
2019,01,05,77.2,73.4,84.2,99.99
2019,01,20,79.9,71.6,93.2,0.0
2019,01,17,72.0,64.4,86.0,0.0
